都道府県,自民得票率,持ち家比率,,,
北海道,41.4,52.8,,,
青森,76.3,71.2,,,
岩手,59.2,72.6,,,
宮城,51.8,63.7,,,
秋田,52.5,81.3,,,
山形,53.2,81.8,,,
福島,62.4,70.9,,,
茨城,55,74,,,
栃木,57.7,73.2,,,
群馬,63.2,72.9,,,
埼玉,37.5,66.7,,,
千葉,48.5,65.7,,,
東京,32.4,43.7,,,
神奈川,20.5,55.5,,,
新潟,47.9,79.6,,,
富山,68.9,85.7,,,
石川,68.5,75.3,,,
福井,52.5,80.5,,,
山梨,63.3,73,,,
長野,58.8,77,,,
岐阜,59.7,77.5,,,
静岡,48.4,69.2,,,
愛知,40.7,60,,,
三重,51,78.2,,,
滋賀,50.9,79.5,,,
京都,34.3,61.8,,,
大阪,25.8,49.6,,,
兵庫,32.1,59.6,,,
奈良,34.4,72.1,,,
和歌山,55.1,71,,,
鳥取,60.3,76.3,,,
島根,57,72.8,,,
岡山,45.6,71.8,,,
広島,54.2,60.7,,,
山口,55.1,67,,,
徳島,55.7,71.8,,,
香川,70.3,71.2,,,
愛媛,61.8,68.3,,,
高知,47.6,68.5,,,
福岡,42.5,54.8,,,
佐賀,71.3,76,,,
長崎,55.2,65.8,,,
熊本,65.2,69.4,,,
大分,42.9,66.9,,,
宮崎,54.7,69.7,,,
鹿児島,62,71.2,,,
沖縄,48.2,59.6,,,
全国,45.8,62.4,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,